Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,A,ABBV,ABT,ALGN,AMGN,BAX,BDX,BIIB,BMY,CI,CNC,CVS,DGX,DXCM,GILD,HCA,HSIC,HUM,IDXX,IQV,ISRG,JNJ,LLY,MCK,MDT,MRK,MTD,PFE,PKI,REGN,RMD,STE,SYK,TFX,TMO,UNH,VRTX,WBA,XRAY,ZBH,A,ABBV,ABT,ALGN,AMGN,BAX,BDX,BIIB,BMY,CI,CNC,CVS,DGX,DXCM,GILD,HCA,HSIC,HUM,IDXX,IQV,ISRG,JNJ,LLY,MCK,MDT,MRK,MTD,PFE,PKI,REGN,RMD,STE,SYK,TFX,TMO,UNH,VRTX,WBA,XRAY,ZBH
2000-01-03,44.0,71.07848214285714,9.22,108.75364190886256,46.77,10.64,17.87,31.08,26.56,22.93,25.643522493933173,13.42,5.67,26.75990484620491,1.35,100.4654716358839,2.48,6.86,4.02,123.26110932475885,75.23147818499127,25.46,33.29,19.48,23.2,27.44,35.38,13.73,16.39,12.31,4.36,7.5,13.91,22.34,12.32,5.48,18.78,18.53,6.77,80.24488994864271,4674353,7727692.546583851,10635087,816232.9207032651,22914900,3878251,795708,2792700,3568588,2089500,2903558.1295501213,6503000,394800,2787565.479088294,54070400,2627121.4379947227,2159340,1287300,1220000,1076188.7459807075,4043630.4799301918,4642400,2645000,1810300,9266900,6265782,51400,12873345,283400,153800,770400,383100,1078000,172200,432200,3431200,1010000,2095900,582300,1579541.53595011
2000-01-04,40.64,71.07848214285714,8.96,108.75364190886256,43.19,10.4,17.4,28.98,24.55,22.84,25.643522493933173,13.31,5.66,26.75990484620491,1.28,100.4654716358839,2.35,6.91,3.66,123.26110932475885,75.23147818499127,24.53,32.24,18.23,23.37,26.47,34.62,13.22,15.63,12.0,4.34,7.27,13.76,21.85,11.86,5.41,17.28,17.84,6.77,80.24488994864271,4765083,7727692.546583851,10734887,816232.9207032651,15052600,1740481,649133,2935500,10592082,2073000,2903558.1295501213,5667000,924400,2787565.479088294,38960000,2627121.4379947227,928200,1238300,4204000,1076188.7459807075,4043630.4799301918,7822200,3701000,1153400,5109300,7894689,106100,14208974,249200,94100,620800,321700,1140800,138700,568400,5997600,265400,1709100,317700,1579541.53595011
2000-01-05,38.12,71.07848214285714,8.94,108.75364190886256,44.68,10.86,17.53,31.0,24.39,22.75,25.643522493933173,14.05,5.61,26.75990484620491,1.27,100.4654716358839,2.5,7.08,3.77,123.26110932475885,75.23147818499127,24.79,32.65,18.44,24.83,27.51,33.88,13.44,15.45,11.5,4.34,7.22,14.18,23.19,11.96,5.4,17.0,18.04,6.89,80.24488994864271,5758642,7727692.546583851,11722632,816232.9207032651,15071400,4200426,768545,3390000,7222700,1556700,2903558.1295501213,5694000,624000,2787565.479088294,24038400,2627121.4379947227,2998800,1096300,3565200,1076188.7459807075,4043630.4799301918,8229600,3411000,1309500,5841200,7963018,162100,12981591,190400,82000,845600,327600,1239200,167400,490800,10562400,202000,2167800,1188000,1579541.53595011
2000-01-06,36.67,71.07848214285714,9.25,108.75364190886256,45.42,11.08,18.25,32.38,24.73,23.85,25.643522493933173,13.05,5.64,26.75990484620491,1.36,100.4654716358839,2.49,7.37,3.75,123.26110932475885,75.23147818499127,25.56,33.6,19.74,25.77,27.74,34.62,13.92,15.65,11.62,4.34,7.36,14.48,23.19,11.96,5.6,16.75,17.51,6.9,80.24488994864271,2534434,7727692.546583851,17479583,816232.9207032651,11118400,3350620,438598,2742300,7321988,2016900,2903558.1295501213,7203200,450400,2787565.479088294,35760000,2627121.4379947227,1082220,1026700,2865200,1076188.7459807075,4043630.4799301918,5356400,2460100,2030600,6130500,4989004,245000,11115273,401400,42100,265600,663900,1438400,240400,561900,15300000,270600,2595400,534300,1579541.53595011
2000-01-07,39.72,71.07848214285714,9.35,108.75364190886256,50.53,11.71,19.27,36.1,28.35,24.89,25.643522493933173,13.36,5.86,26.75990484620491,1.57,100.4654716358839,2.57,7.93,3.95,123.26110932475885,75.23147818499127,26.65,36.08,19.53,28.65,30.4,35.62,14.86,15.85,13.0,4.36,7.27,15.82,23.9,12.12,6.26,18.22,17.96,6.88,80.24488994864271,2819626,7727692.546583851,15756040,816232.9207032651,15953900,4469948,918708,4736400,10913586,1743300,2903558.1295501213,6967000,1608400,2787565.479088294,67779200,2627121.4379947227,4083570,2419300,2336000,1076188.7459807075,4043630.4799301918,9863800,5863300,1195700,11537600,10871218,215200,17962163,453200,113900,1012800,313000,3115200,161100,266600,16160800,813200,3629900,1401000,1579541.53595011
2000-01-10,42.13,71.07848214285714,9.29,108.75364190886256,53.59,11.27,18.85,39.83,28.04,24.74,25.643522493933173,13.34,5.97,26.75990484620491,1.77,100.4654716358839,2.73,7.59,4.09,123.26110932475885,75.23147818499127,25.98,34.59,19.94,28.44,29.51,37.25,14.84,16.49,14.5,4.41,7.36,15.64,24.57,12.01,6.15,18.78,18.48,7.04,80.24488994864271,2148446,7727692.546583851,10442172,816232.9207032651,10555300,1916481,526440,5765400,7113431,2408400,2903558.1295501213,8786400,620800,2787565.479088294,61219200,2627121.4379947227,2310810,1276200,620400,1076188.7459807075,4043630.4799301918,4928600,2830500,2476300,6966700,6001686,78900,10413731,411400,286800,973600,401000,2225600,237600,470000,9336000,1306400,3296100,613200,1579541.53595011
2000-01-11,41.56,71.07848214285714,9.16,108.75364190886256,49.37,11.27,18.55,36.71,27.65,24.1,25.643522493933173,13.38,5.96,26.75990484620491,1.61,100.4654716358839,2.67,7.48,4.44,123.26110932475885,75.23147818499127,26.06,34.78,22.44,28.56,29.62,36.06,14.65,15.97,14.09,4.44,7.22,15.79,24.22,12.12,6.16,19.78,19.21,7.04,80.24488994864271,1855985,7727692.546583851,9533285,816232.9207032651,14103100,2438589,586608,3385200,5687572,1678500,2903558.1295501213,6508400,575600,2787565.479088294,46502400,2627121.4379947227,1488180,693700,2500800,1076188.7459807075,4043630.4799301918,6153000,3309700,5369300,4413700,5264418,90500,9747076,178800,198900,300800,448000,722000,171500,277900,9988000,1208800,3499800,581700,1579541.53595011
2000-01-12,40.72,71.07848214285714,9.02,108.75364190886256,47.23,11.14,17.95,35.21,27.58,24.14,25.643522493933173,13.36,5.93,26.75990484620491,1.6,100.4654716358839,2.75,7.65,4.38,123.26110932475885,75.23147818499127,25.82,34.27,21.55,28.52,30.2,35.88,15.13,16.0,14.12,4.36,8.2,15.46,24.31,11.81,6.1,19.56,19.62,6.89,80.24488994864271,1429874,7727692.546583851,8330124,816232.9207032651,11576800,1862356,860898,4256100,3727974,1857900,2903558.1295501213,4623800,676800,2787565.479088294,21923200,2627121.4379947227,3887220,764000,1569600,1076188.7459807075,4043630.4799301918,5163200,3573600,2052200,3243300,5229939,30000,11423252,204200,198000,419200,751200,815600,160600,432300,6378400,842400,2062800,1068600,1579541.53595011
2000-01-13,41.33,71.07848214285714,8.94,108.75364190886256,49.65,11.4,19.19,38.71,27.06,24.6,25.643522493933173,13.09,6.16,26.75990484620491,1.68,100.4654716358839,3.12,8.39,4.44,123.26110932475885,75.23147818499127,25.79,33.86,21.92,29.5,30.33,35.88,15.94,16.44,14.19,4.62,8.66,15.45,25.06,12.22,6.29,19.56,19.58,7.19,80.24488994864271,1134337,7727692.546583851,10615929,816232.9207032651,10552600,2743826,697718,3178500,4402082,1845300,2903558.1295501213,5123000,700000,2787565.479088294,23811200,2627121.4379947227,4864890,1760600,1152400,1076188.7459807075,4043630.4799301918,4659200,3639400,1131500,5029300,5610468,80400,27705866,396400,102200,1065600,851500,914400,191500,477500,6981600,925600,2092100,847800,1579541.53595011
