Date,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,A,AAP,AAPL,ACGL,ADM,ADP,AEE,ALB,AMT,APA,GOOGL,A,AAP,AAPL,ACGL,ADM,ADP,AEE,ALB,AMT,APA,GOOGL,A,AAP,AAPL,ACGL,ADM,ADP,AEE,ALB,AMT,APA,GOOGL
2000-01-03,56.33,92.12691075088505,0.94,1.41,10.88,42.43,32.56,9.66,30.5,15.88,38.47300021353833,44.0,86.55759455934415,0.85,1.28,6.59,25.35,11.03,6.24,23.72,11.33,38.47677343583173,4674353,1174509.7074715856,535796800,433800,984753,2698899,700800,134000,433900,1082697,123844353.11894085
2000-01-04,48.73,92.12691075088505,0.97,1.26,10.71,40.94,32.31,8.88,29.0,14.29,38.47300021353833,40.64,86.55759455934415,0.78,1.27,6.52,25.35,11.03,6.24,23.47,10.83,38.47677343583173,4765083,1174509.7074715856,512377600,84600,1088057,3141234,455600,68200,522300,2959572,123844353.11894085
2000-01-05,47.39,92.12691075088505,0.93,1.28,10.77,41.19,32.31,9.0,29.0,14.23,38.47300021353833,38.12,86.55759455934415,0.79,1.39,6.42,25.1,11.45,6.34,24.17,11.14,38.47677343583173,5758642,1174509.7074715856,778321600,80100,1087947,3008836,1293200,70000,674000,2170014,123844353.11894085
2000-01-06,44.08,92.12691075088505,0.95,1.39,10.54,41.14,33.56,9.09,29.44,14.94,38.47300021353833,36.67,86.55759455934415,0.72,1.38,6.45,25.44,11.41,6.56,23.92,12.2,38.47677343583173,2534434,1174509.7074715856,767972800,348300,899971,2121771,320400,78600,911700,2416029,123844353.11894085
2000-01-07,42.25,92.12691075088505,0.86,1.38,10.77,42.33,33.5,9.44,29.75,16.13,38.47300021353833,39.72,86.55759455934415,0.76,1.45,6.55,26.02,11.58,6.45,25.24,12.16,38.47677343583173,2819626,1174509.7074715856,460734400,247500,1186290,1892407,312700,71800,606000,1709169,123844353.11894085
2000-01-10,49.36,92.12691075088505,0.91,1.44,10.88,42.03,33.94,9.34,32.0,15.58,38.47300021353833,42.13,86.55759455934415,0.74,1.5,6.55,26.66,11.5,6.43,27.46,11.68,38.47677343583173,2148446,1174509.7074715856,505064000,455400,1484516,1722181,483300,67000,1012300,1621851,123844353.11894085
2000-01-11,49.31,92.12691075088505,0.86,1.49,10.83,42.92,33.62,9.31,33.94,15.23,38.47300021353833,41.56,86.55759455934415,0.7,1.51,6.45,26.14,11.48,6.41,29.53,11.73,38.47677343583173,1855985,1174509.7074715856,441548800,407700,1093019,1087932,479200,68200,2893100,1729728,123844353.11894085
2000-01-12,48.64,92.12691075088505,0.85,1.51,10.71,42.53,33.75,9.25,36.81,15.15,38.47300021353833,40.72,86.55759455934415,0.66,1.51,6.62,25.9,11.54,6.45,30.75,11.66,38.47677343583173,1429874,1174509.7074715856,976068800,216900,1357398,1108990,240400,93000,1479400,989604,123844353.11894085
2000-01-13,48.91,92.12691075088505,0.84,1.53,10.88,42.13,33.75,9.31,38.25,15.18,38.47300021353833,41.33,86.55759455934415,0.74,1.58,6.59,25.74,11.58,6.54,29.94,11.91,38.47677343583173,1134337,1174509.7074715856,1032684800,404100,2940037,1314648,235100,94400,1507000,1492722,123844353.11894085
2000-01-14,47.93,92.12691075088505,0.89,1.61,11.0,41.14,33.88,9.5,37.75,15.64,38.47300021353833,41.79,86.55759455934415,0.76,1.65,6.86,25.47,11.41,6.41,30.85,11.81,38.47677343583173,1316916,1174509.7074715856,390376000,432000,2805532,2138541,280900,118000,609200,2113188,123844353.11894085
2000-01-18,49.09,92.12691075088505,0.9,1.62,11.39,41.04,33.44,9.19,39.5,15.91,38.47300021353833,43.7,86.55759455934415,0.79,1.72,7.17,24.01,11.03,6.28,31.1,12.91,38.47677343583173,2101753,1174509.7074715856,459177600,1624500,2991303,2826379,416000,74000,2728900,3291519,123844353.11894085
2000-01-19,51.5,92.12691075088505,0.94,1.76,11.85,39.16,32.44,9.06,39.0,17.21,38.47300021353833,42.78,86.55759455934415,0.81,1.76,7.34,26.35,11.31,6.3,31.56,12.82,38.47677343583173,2624885,1174509.7074715856,597643200,667800,2480625,4264472,406200,106000,469400,2229612,123844353.11894085
2000-01-20,50.61,92.12691075088505,1.03,1.76,12.13,42.33,32.94,9.12,39.5,17.1,38.47300021353833,41.63,86.55759455934415,0.86,1.72,7.17,24.77,11.26,6.21,32.77,12.91,38.47677343583173,2007947,1174509.7074715856,1831132800,985500,1527073,3220295,212300,77400,1205200,2245782,123844353.11894085
2000-01-21,49.45,92.12691075088505,1.02,1.73,12.19,40.89,33.06,9.03,41.44,17.15,38.47300021353833,42.02,86.55759455934415,0.85,1.74,7.14,24.65,11.35,6.3,34.89,13.36,38.47677343583173,1918336,1174509.7074715856,495924800,460800,1124440,2826253,407000,111200,2353300,3129588,123844353.11894085
2000-01-24,49.0,92.12691075088505,0.97,1.7,11.79,40.45,33.25,9.28,43.12,17.42,38.47300021353833,41.86,86.55759455934415,0.81,1.72,6.79,24.37,11.41,6.19,33.98,13.01,38.47677343583173,2095882,1174509.7074715856,440876800,1108800,1049580,2919562,342400,120400,2161100,2251326,123844353.11894085
